Id,Name,Industry,Website / Link URL,Website / Link Label,Website / Secondary Links,Linkedin / Link URL,Linkedin / Link Label,Linkedin / Secondary Links,Instagram / Link URL,Instagram / Link Label,Instagram / Secondary Links,Company Score,City
96a91e01-17b8-41fb-a8b2-c37a4bf61e00,Fillout,[],https://fillout.com,,[],,,[],,,[],,[]
b50618b8-3675-439f-a142-a0127358a8b3,Smashing Films,"[""FILM""]",https://www.smashingfilms.com.au,,[],https://www.linkedin.com/company/smashing-films,,[],,,[],,[]
da14fd3a-aa52-4cac-ade5-ca22c87d2cec,Hive Sound Studios,[],https://hivesoundstudios.com,,[],https://www.linkedin.com/company/hive-sound-studios,,[],,,[],,[]
702513d0-1727-4f67-90c7-e4d5a7bb2e32,Soundbyte Studios,[],https://soundbyte.com.au,,[],,,[],,,[],,[]
b17004a8-27af-49ba-a022-6589765e9ef5,Cap,[],https://cap.so,,[],,,[],,,[],,[]
b02551fb-7607-40d8-9a63-30d8308deb47,Producer Drive Studio,[],https://producerdrive.au,,[],https://www.linkedin.com/company/producer-drive/posts/?feedView=all,,[],,,[],,[]
37aa38fc-fdc6-41cb-8b28-34494473bd2e,Lincal,[],https://lincal.app,,[],,,[],,,[],,[]
9d2f18ca-b32a-4414-a2dc-c7d32a149f36,Capel Sound Studios,[],https://www.capelsoundstudios.com.au,,[],https://www.linkedin.com/company/capel-sound-studios/posts/?feedView=all,,[],,,[],,[]
1d0439ff-db39-4fbe-abf9-d045f478943c,Safe House Studios,[],http://safehousestudios.com.au,,[],https://www.linkedin.com/company/safe-house-studios,,[],,,[],,[]
b3eb5c50-6905-4426-8b87-06be58155ddc,3 By 3 Studios,[],http://3by3studios.com.au,,[],https://www.linkedin.com/company/3by3-recording-and-rehearsal-studios/about,,[],,,[],,[]
6437dc29-3bc7-43ff-a8ad-57f31ae8c23b,Envelope Audio,[],https://www.envelopeaudio.com.au,,[],,,[],,,[],RATING_5,"[""PERTH""]"
b0220195-cc59-4de2-a337-a214e1004bd8,Cartelaustralia,[],https://cartelaustralia.com.au,,[],,,[],,,[],,[]
